Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Cluster_PCA
0,0.9820183238681399,-0.5776462019909269,-0.2004255737534584,0,0
1,-1.278218746380572,-1.6797343505262476,0.9685206644198112,1,2
0,-0.33037739434078955,-1.4137130732935839,-0.6290391944169906,3,4
0,-0.5491100140422778,2.8806304020337006,-1.2914420627151768,4,3
1,-0.6220208872761073,-0.6916553208049255,0.11129342309274683,1,2
1,-0.33037739434078955,-1.4517161128982503,1.8257479057468755,1,2
0,-1.4969513660820601,0.7524601841723914,-1.7979854325902602,4,0
0,0.5445530844651635,-0.6916553208049255,-0.39524994678233666,0,0
1,-0.5491100140422778,-0.5016401227815944,-0.16146069914768277,1,0
1,-1.4240404928482309,-1.7177373901309139,-1.7590205579844846,3,4
0,0.6174639576989929,-0.007600607920933354,-0.356285072176561,0,0
0,2.002770549141752,-1.6037282713169152,-1.4473015611382793,3,4
0,-0.9865752534452543,-0.273621885153597,0.11129342309274683,1,2
1,-0.8407535069775954,0.5624449861490601,-0.43421482138811235,4,1
1,-1.2053078731467426,0.33442674852106274,-0.8628284420516446,4,0
1,1.0549291971019694,-0.5396431623862606,0.3061177961216251,0,0
0,1.9298596759079225,0.0684054712883991,-0.1224958245419071,0,3
1,-1.2053078731467426,-0.273621885153597,0.033363673881195516,1,2
1,-1.4969513660820601,0.0684054712883991,0.11129342309274683,1,1
0,-0.6949317605099367,1.4365148970563835,1.7867830311411,2,1
1,0.5445530844651635,0.6384510653583926,-1.369371811926728,4,3
0,0.5445530844651635,0.37242978812572897,-1.6421259341671577,4,3
0,-1.4969513660820601,-0.5776462019909269,0.15025829769852247,1,2
1,-1.278218746380572,-0.15961276633959828,0.15025829769852247,1,2
0,2.002770549141752,0.03040243168373288,0.3061177961216251,0,0
1,-0.1116447746393013,0.22041762970706405,-0.43421482138811235,4,0
1,0.3258204647636752,0.44843586733506147,-1.7200556833787088,4,3
0,-1.3511296196144014,-1.75574042973558,1.1633450374486896,1,2
1,-0.9136643802114249,-0.8056644396189242,-0.16146069914768277,1,2
0,-0.2574665211069601,0.9804784218003887,-1.6031610595613819,4,3
1,-0.6949317605099367,0.6384510653583926,0.8516260406024843,2,1
1,-1.4240404928482309,-0.919673558432923,0.9295557898140355,1,2
1,0.39873133799750465,-0.273621885153597,0.07232854848697116,0,0
0,-1.5698622393158896,-0.08360668713026582,-0.39524994678233666,1,1
1,-1.3511296196144014,-1.0716857168515879,1.1633450374486896,1,2
0,1.4194835632711165,1.2084966594283861,-1.4473015611382793,4,3
0,0.03417697182835754,0.37242978812572897,1.7088532819295486,2,1
0,-0.5491100140422778,0.9804784218003887,0.4619772945447277,2,1
1,0.7632857041666518,-0.8056644396189242,0.15025829769852247,0,0
1,0.9091074506343105,1.018481461405055,-1.486266435744055,4,3
